journal_line_id,entry_number,entry_date,reference_type,reference,entry_description,line_description,debit_amount,credit_amount,product_code
f77e9891-9ac1-4a9e-b3af-41769435513f,JE0159,2025-05-04,financing_disbursement,JV-LCI001,Qard Ul Hasana paid to Jamal by purchasing Bajaj Rekshaw for 17 months on monthly installments,Qard Ul Hasana paid to Jamal by purchasing Bajaj Rekshaw for 17 months on monthly installments,212089.00,0.00,
0d0bc3bc-bba1-4f65-913f-b62e5f5958ea,JE0160,2025-05-04,financing_disbursement,JV-LCI002,Qard Ul Hasana paid to Zubair for 17 months on monthly instalments,Qard Ul Hasana paid to Zubair for 17 months on monthly instalments,212089.00,0.00,
4617038c-e111-4097-aca5-399f7ae206bc,JE0161,2025-05-04,financing_disbursement,JV-LCI003,Qard Ul Hasana paid to Esmaullah by purchasing Bajaj Rekshaw on monthly installments,Qard Ul Hasana paid to Esmaullah by purchasing Bajaj Rekshaw on monthly installments,224500.00,0.00,
55532a8f-b6f5-402f-9cd2-ff641685a8f5,JE0162,2025-05-04,financing_disbursement,JV-LCI004,Qard Ul Hasana paid to Abdullah by purchasing Bajaj Rekshaw on monthly installments.,Qard Ul Hasana paid to Abdullah by purchasing Bajaj Rekshaw on monthly installments.,212088.01,0.00,
7f5b6df3-0c89-483e-97de-c928d5b73327,JE0163,2025-05-04,financing_disbursement,JV-LCI005,Purchased a taxi for Mr. Ebadullah on Murabaha,Purchased a taxi for Mr. Ebadullah on Murabaha,376704.00,0.00,
961eae69-110e-4642-8a4e-106e54e39d2b,JE0164,2025-05-04,financing_disbursement,JV-LCI006,Loan paid to Mohammad Asif for as investment on Cricket bats production factory setup and Raw materials,Loan paid to Mohammad Asif for as investment on Cricket bats production factory setup and Raw materials,1500000.00,0.00,
d20eea1d-ad75-4196-9a63-23eb72ef02d5,JE0336,2025-07-09,financing_disbursement,JV-LCI007,Purchased car spare parts Safiullah s/o Najeebullah for loan on murabaha contract on 18% Profit.,Purchased car spare parts Safiullah s/o Najeebullah for loan on murabaha contract on 18% Profit.,82612.00,0.00,
16beb5b6-7b7f-47ee-bc1e-e9a13d9c6c77,JE0337,2025-07-09,financing_disbursement,JV-LCI008,"Laon paid to Mr. Zabihullah Hashemi as Musharakah for 12 months on 50% profit sharing on 4 installments in Chicken Farming,","Laon paid to Mr. Zabihullah Hashemi as Musharakah for 12 months on 50% profit sharing on 4 installments in Chicken Farming,",130000.00,0.00,
c5e21352-9903-4be7-861d-3f5047fb79ea,JE0427,2025-08-01,financing_disbursement,JV-LCI009,Purchased sewing and tailoring materials for female clothing dress,Purchased sewing and tailoring materials for female clothing dress,35435.40,0.00,
8b5d50da-3e83-4d6b-a2c0-69eb4968c398,JE0428,2025-08-01,financing_disbursement,JV-LCI010,Purchased vehicle spare parts for Haqiqat Amirzai on Murabaha loan,Purchased vehicle spare parts for Haqiqat Amirzai on Murabaha loan,48911.47,0.00,
95df5b21-0a94-43cd-9366-0afedaf85b79,JE0454,2025-08-05,financing_disbursement,JV-LCI011,Purchased grocery materials for sale on Murabaha for Ms. Taiba on 12 installments,Purchased grocery materials for sale on Murabaha for Ms. Taiba on 12 installments,25093.35,0.00,
f9a9a50e-b64d-4b81-8e1a-4121bce281e6,JE0455,2025-08-05,financing_disbursement,JV-LCI012,Purchased grocery materials for sale on Murabaha for Mr. Ansarullah Majidi on 12 installments,Purchased grocery materials for sale on Murabaha for Mr. Ansarullah Majidi on 12 installments,36314.15,0.00,
288d28be-0788-4939-b5f2-2b7a93ce9c48,JE0545,2025-08-26,financing_disbursement,JV-LCI013,Purchased cold drinks on Murabaha for Mr. Abdul Ghafar  Paendakhil on 12 months monthly installments.,Purchased cold drinks on Murabaha for Mr. Abdul Ghafar  Paendakhil on 12 months monthly installments.,14528.04,0.00,
3a306f67-5b27-43bf-84e6-2410683af022,JE0552,2025-08-27,financing_disbursement,JV-LCI014,Purchased mobile phone for Mr. Laiq Ashna on Murabaha on 12 months monthly installments.,Purchased mobile phone for Mr. Laiq Ashna on Murabaha on 12 months monthly installments.,30235.97,0.00,
362f4b83-78b3-4998-b59f-f68ef271058e,JE0588,2025-09-09,financing_repayment,JV-R-001,First Installment is deposited in Azizi Bank,First Installment is deposited in Azizi Bank,0.00,2090.00,
73ebab82-85ad-442c-bcac-d43c327ebf23,JE0590,2025-09-10,financing_repayment,JV-R-002,First Installment is deposited in Azizi Bank,First Installment is deposited in Azizi Bank,0.00,3260.00,
5e3b546b-3924-4326-8be0-3c11b1850c40,JE0614,2025-09-21,financing_repayment,JV-R-003,First Installment is deposited in Azizi Bank,First Installment is deposited in Azizi Bank,0.00,12476.00,
5a6a6e9b-40d9-467c-8972-3e7bf0aae865,JE0615,2025-09-21,financing_repayment,JV-R-004,First Installment is deposited in Azizi Bank,First Installment is deposited in Azizi Bank,0.00,12476.00,
d30c2423-eaf3-460b-bd06-b66d9715ff75,JE0616,2025-09-21,financing_repayment,JV-R-005,First Installment is deposited in Azizi Bank,First Installment is deposited in Azizi Bank,0.00,13206.00,
31fb5c8f-0e4f-4427-9d2c-d08405df1353,JE0617,2025-09-21,financing_repayment,JV-R-006,First Installment is deposited in Azizi Bank,First Installment is deposited in Azizi Bank,0.00,12476.00,
90b927bb-b231-4d91-821a-b7bf19efec50,JE0622,2025-09-21,financing_disbursement,JV-LCI015,Purchased cold drinks and other resale Item form Mr. Bawar Khan Qazi on Murabaha for 12 months on 18% profit margin.,Purchased cold drinks and other resale Item form Mr. Bawar Khan Qazi on Murabaha for 12 months on 18% profit margin.,23600.00,0.00,
